

Complete listing of Fine Structure file
File:  D:\SoundingArchive\Sonde2021\Ball09\PTU\20210930\Esrange_20210930_045350_EDT_PTULevels.tsv

Started at       30 September 2021  4:53 UTC

Station  :       Esrange
Location :       67.89 N 21.08 E       335 m/MSL

RS type       :  RS41-SGP
RS-number     :  R0830048
Sounding processor serial number: 0


Ground check  :     Ref     RS   Corr

  Pressure    :   988.7  987.1    1.6
  Temperature :   /////  /////  /////
  Humidity    :   /////  /////  /////

Clouds    : /////
Special 1 : /////
Special 2 : /////

Telemetry noise level  :  100 %

   7 27    798.3     2011       2.5     39  -10.2                           
   7 28    797.9     2015       2.6     38  -10.3                           
   7 29    797.5     2019       2.5     38  -10.4                           
   7 30    797.1     2023       2.5     37  -10.8                           
   7 31    796.7     2027       2.5     36  -11.2                           
   7 32    796.3     2031       2.6     35  -11.2                           
   7 33    795.9     2035       2.6     35  -11.2                           
   7 34    795.5     2039       2.6     35  -11.3                           
   7 35    795.1     2043       2.7     35  -11.3                           
   7 36    794.7     2047       2.7     35  -11.1                           
   7 37    794.3     2051       2.7     36  -11.1                           
   7 38    793.9     2055       2.7     35  -11.1                           
   7 39    793.5     2060       2.7     35  -11.1                           
   7 40    793.1     2064       2.7     35  -11.1                           
   7 41    792.7     2068       2.7     36  -11.0                           
   7 42    792.3     2072       2.6     36  -11.0                           
   7 43    791.9     2076       2.6     36  -11.0                           
   7 44    791.5     2080       2.6     36  -11.0                           
   7 45    791.1     2084       2.6     36  -10.9                           
   7 46    790.7     2089       2.6     36  -10.9                           
   7 47    790.3     2093       2.6     36  -11.0                           
   7 48    789.9     2097       2.6     36  -11.0                           
   7 49    789.5     2101       2.5     36  -11.0                           
   7 50    789.1     2105       2.5     36  -11.1                           
   7 51    788.7     2109       2.6     36  -11.1                           
   7 52    788.3     2113       2.6     35  -11.2                           
   7 53    787.9     2118       2.5     35  -11.2                           
   7 54    787.4     2122       2.5     36  -11.2                           
   7 55    787.0     2126       2.5     36  -11.2                           
   7 56    786.6     2130       2.5     36  -11.1                           
   7 57    786.2     2134       2.5     36  -11.0                           
   7 58    785.8     2138       2.5     36  -11.0                           
   7 59    785.4     2143       2.4     36  -11.0                           
   8  0    785.0     2147       2.4     36  -11.0                           
   8  1    784.6     2151       2.4     37  -11.0                           
   8  2    784.2     2155       2.3     37  -11.0                           
   8  3    783.8     2160       2.3     37  -11.0                           
   8  4    783.3     2164       2.3     37  -11.0                           
   8  5    782.9     2168       2.3     37  -11.0                           
   8  6    782.5     2173       2.3     37  -11.0                           
   8  7    782.1     2177       2.4     36  -11.0                           
   8  8    781.7     2181       2.5     36  -11.0                           
   8  9    781.3     2185       2.5     36  -11.1                           
   8 10    780.9     2190       2.5     36  -11.2                           
   8 11    780.5     2194       2.5     36  -11.2                           
   8 12    780.1     2198       2.5     35  -11.3                           
   8 13    779.6     2202       2.6     34  -11.5                           
   8 14    779.2     2206       2.7     33  -11.8                           
   8 15    778.8     2211       2.8     32  -12.3                           
   8 16    778.4     2215       2.9     31  -12.7                           
   8 17    778.0     2219       2.9     30  -12.9                           
   8 18    777.6     2223       2.9     30  -12.9                           
   8 19    777.2     2228       2.9     30  -12.9                           
   8 20    776.8     2232       2.9     30  -13.1                           
   8 21    776.4     2236       2.9     29  -13.2                           
   8 22    776.0     2241       2.9     29  -13.3 TU          TU            
   8 23    775.6     2245       2.8     29  -13.4                           
   8 24    775.1     2249       2.8     29  -13.5                           
   8 25    774.7     2253       2.8     29  -13.5                           
